incident_index,center_lat,center_lon,IPP_lat,IPP_lon,find_lat,find_lon,found_east_km,found_north_km,ipp_to_found_km,zoom,size,scale,map_width_px,image_px,maptype,format,target_ground_width_km,actual_ground_width_km,visibility_ratio,found_inside_image,base_file,status,request_url_redacted
41,35.24375,-111.59967,35.24375,-111.59967,35.232517,-111.6015,-0.1662002572383633,-1.2490543362629596,1.2600631969158076,14,640,2,640,1280,terrain,png32,16.94568210046248,4.994117240388437,0.5002102578456126,True,data\maps\base\terrain\base_041.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=35.243750000000,-111.599670000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
42,35.33068333,-111.71108,35.33068333,-111.71108,35.334233,-111.6975,1.2318970667527842,0.3947058404523616,1.293585358593735,14,640,2,640,1280,terrain,png32,16.94568210046248,4.988757529211511,0.49386928891189846,True,data\maps\base\terrain\base_042.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=35.330683330000,-111.711080000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
43,36.23878333,-112.6892,36.23878333,-112.6892,36.246433,-112.70008,-0.9757309593521233,0.8506056694107591,1.294442314349327,15,640,2,640,1280,terrain,png32,16.94568210046248,2.4660430458835667,0.791333274559711,True,data\maps\base\terrain\base_043.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=36.238783330000,-112.689200000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
44,41.54819,-80.33056,41.54819,-80.33056,41.59006,-80.32647,0.34025216702575445,4.655738009378352,4.668154660227658,12,640,2,640,1280,terrain,png32,16.94568210046248,18.30570561544923,0.5086652333629914,True,data\maps\base\terrain\base_044.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=41.548190000000,-80.330560000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
45,42.0097,-74.42595,42.0097,-74.42595,42.03544,-74.35565,5.807112714929029,2.8621613652110245,6.474142562511922,12,640,2,640,1280,terrain,png32,16.94568210046248,18.17443913817769,0.6390417520759097,True,data\maps\base\terrain\base_045.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=42.009700000000,-74.425950000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
46,42.02893,-74.33659,42.02893,-74.33659,42.02902,-74.35191,-1.2653770185064002,0.010007557221034143,1.2654165898582657,14,640,2,640,1280,terrain,png32,16.94568210046248,4.5422359834106,0.5571604043153542,True,data\maps\base\terrain\base_046.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=42.028930000000,-74.336590000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
47,42.17965,-74.21362,42.17965,-74.21362,42.18345,-74.19585,1.4642102222555726,0.42254130488723035,1.523959552882939,14,640,2,640,1280,terrain,png32,16.94568210046248,4.531450760050141,0.646243465851705,True,data\maps\base\terrain\base_047.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=42.179650000000,-74.213620000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
48,42.31735,-76.47791,42.31735,-76.47791,42.30271,-76.48976,-0.9744283110006519,-1.6278959746189203,1.897249540234346,14,640,2,640,1280,terrain,png32,16.94568210046248,4.521569809346,0.7200578751450833,True,data\maps\base\terrain\base_048.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=42.317350000000,-76.477910000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
49,42.34432,-77.47638,42.34432,-77.47638,42.36077,-77.48593,-0.7847681350232218,1.8291590698415015,1.990397928331608,14,640,2,640,1280,terrain,png32,16.94568210046248,4.519631460444828,0.8094284172725328,True,data\maps\base\terrain\base_049.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=42.344320000000,-77.476380000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
50,42.74271,-73.45475,42.74271,-73.45475,42.75163,-73.46259,-0.6401891425766923,0.991860115682698,1.180520488645223,15,640,2,640,1280,terrain,png32,16.94568210046248,2.2454412637689756,0.8834433852149486,True,data\maps\base\terrain\base_050.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=42.742710000000,-73.454750000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
51,43.06902,-74.48481,43.06902,-74.48481,43.05475,-74.4839,0.07392928916258479,-1.5867537949328856,1.5884751006634221,14,640,2,640,1280,terrain,png32,16.94568210046248,4.46717327592981,0.7104061995905516,True,data\maps\base\terrain\base_051.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.069020000000,-74.484810000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
52,43.42473,-73.73209,43.42473,-73.73209,43.42878,-73.73981,-0.6234351134832169,0.45034007494653644,0.76907575891586,15,640,2,640,1280,terrain,png32,16.94568210046248,2.2205814114193667,0.5615061985813213,True,data\maps\base\terrain\base_052.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.424730000000,-73.732090000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
53,43.42498,-74.41496,43.42498,-74.41496,43.41592,-74.4142,0.06138083360661735,-1.0074274269155936,1.009295609426222,14,640,2,640,1280,terrain,png32,16.94568210046248,4.441144481866631,0.4536791950943995,True,data\maps\base\terrain\base_053.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.424980000000,-74.414960000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
54,43.42736,-74.4481,43.42736,-74.4481,43.44347,-74.45004,-0.1566439215553655,1.7913527425619513,1.7981885234443415,14,640,2,640,1280,terrain,png32,16.94568210046248,4.44096987157825,0.8067394260098112,True,data\maps\base\terrain\base_054.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.427360000000,-74.448100000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
55,43.4332,-74.41433,43.4332,-74.41433,43.45684,-74.41519,-0.069429066109867,2.6286516967207545,2.6295684318232384,13,640,2,640,1280,terrain,png32,16.94568210046248,8.881082767221923,0.5919664900371194,True,data\maps\base\terrain\base_055.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.433200000000,-74.414330000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
56,43.4449,-74.4086,43.4449,-74.4086,43.43407,-74.40747,0.09123491020876114,-1.2042427189290017,1.2076938083979458,14,640,2,640,1280,terrain,png32,16.94568210046248,4.439682801460587,0.542490431313167,True,data\maps\base\terrain\base_056.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.444900000000,-74.408600000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
57,43.51063,-74.57393,43.51063,-74.57393,43.53014,-74.57169,0.18061304549860804,2.169416015356662,2.1769214314532186,13,640,2,640,1280,terrain,png32,16.94568210046248,8.869711780960598,0.4891739594094707,True,data\maps\base\terrain\base_057.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.510630000000,-74.573930000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
58,43.65649,-76.00019,43.65649,-76.00019,43.65566,-76.0115,-0.9098811444309028,-0.09229191659389374,0.914549885749463,15,640,2,640,1280,terrain,png32,16.94568210046248,2.2120618804539203,0.8226543321149705,True,data\maps\base\terrain\base_058.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.656490000000,-76.000190000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
59,43.73413,-74.25577,43.73413,-74.25577,43.73701,-74.28305,-2.191748357141295,0.3202418310723025,2.215020461358803,13,640,2,640,1280,terrain,png32,16.94568210046248,8.836798890478752,0.4960502970148622,True,data\maps\base\terrain\base_059.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.734130000000,-74.255770000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
60,43.8756,-74.43076,43.8756,-74.43076,43.91132,-74.37437,4.518561095620353,3.971888265942336,6.016085727622214,12,640,2,640,1280,terrain,png32,16.94568210046248,17.63179263210128,0.5125469871275193,True,data\maps\base\terrain\base_060.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.875600000000,-74.430760000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
61,43.95385,-75.15748,43.95385,-75.15748,43.99774,-75.16148,-0.32007868538012607,4.880352071449487,4.89083701293696,12,640,2,640,1280,terrain,png32,16.94568210046248,17.60862314666258,0.554313875741554,True,data\maps\base\terrain\base_061.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=43.953850000000,-75.157480000000&zoom=12&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
62,44.16065,-73.85545,44.16065,-73.85545,44.1547,-73.85942,-0.3167034811436316,-0.6616107273893616,0.7335051800775433,15,640,2,640,1280,terrain,png32,16.94568210046248,2.1934040727351447,0.6032729998210882,True,data\maps\base\terrain\base_062.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=44.160650000000,-73.855450000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
63,44.19013,-74.81336,44.19013,-74.81336,44.18772,-74.79719,1.289265074454612,-0.2679801433633354,1.3168210900291426,14,640,2,640,1280,terrain,png32,16.94568210046248,4.384615631562567,0.5880857903136884,True,data\maps\base\terrain\base_063.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=44.190130000000,-74.813360000000&zoom=14&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
64,44.28656,-74.61429,44.28656,-74.61429,44.28923,-74.60208,0.971890562111664,0.29689086422374955,1.0162260809384192,15,640,2,640,1280,terrain,png32,16.94568210046248,2.188717872470215,0.888091219371984,True,data\maps\base\terrain\base_064.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=44.286560000000,-74.614290000000&zoom=15&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
65,48.1103,-121.4917,48.1103,-121.4917,48.142,-121.4739,1.3211500543743664,3.524884043403074,3.76433855638421,13,640,2,640,1280,terrain,png32,16.94568210046248,8.165905203013159,0.8633174046895421,True,data\maps\base\terrain\base_065.png,downloaded,"https://maps.googleapis.com/maps/api/staticmap?center=48.110300000000,-121.491700000000&zoom=13&size=640x640&scale=2&maptype=terrain&format=png32&key=REDACTED"
