incident_index,find_x_m,find_y_m,find_lat,find_lon,ipp_lat,ipp_lon,meters_per_cell,ground_width_m,find_cell_x,find_cell_y,find_pixel_x_in_framed_png,find_pixel_y_in_framed_png,v2_map_path
46,-1265.377,10.008,42.029020000000,-74.351910000000,42.028930000000,-74.336590000000,2.666666667,8000.000,1025.484,1503.753,1285,1630,data/SAR_maps/v2/usgs_terrain/incident_046.png
47,1464.210,422.541,42.183450000000,-74.195850000000,42.179650000000,-74.213620000000,2.666666667,8000.000,2049.079,1658.453,2309,1476,data/SAR_maps/v2/usgs_terrain/incident_047.png
48,-974.428,-1627.896,42.302710000000,-76.489760000000,42.317350000000,-76.477910000000,2.666666667,8000.000,1134.589,889.539,1395,2244,data/SAR_maps/v2/usgs_terrain/incident_048.png
49,-784.768,1829.159,42.360770000000,-77.485930000000,42.344320000000,-77.476380000000,2.666666667,8000.000,1205.712,2185.935,1466,948,data/SAR_maps/v2/usgs_terrain/incident_049.png
50,-640.189,991.860,42.751630000000,-73.462590000000,42.742710000000,-73.454750000000,2.666666667,8000.000,1259.929,1871.948,1520,1262,data/SAR_maps/v2/usgs_terrain/incident_050.png
51,73.929,-1586.754,43.054750000000,-74.483900000000,43.069020000000,-74.484810000000,2.666666667,8000.000,1527.723,904.967,1788,2229,data/SAR_maps/v2/usgs_terrain/incident_051.png
52,-623.435,450.340,43.428780000000,-73.739810000000,43.424730000000,-73.732090000000,2.666666667,8000.000,1266.212,1668.878,1526,1465,data/SAR_maps/v2/usgs_terrain/incident_052.png
53,61.381,-1007.427,43.415920000000,-74.414200000000,43.424980000000,-74.414960000000,2.666666667,8000.000,1523.018,1122.215,1783,2012,data/SAR_maps/v2/usgs_terrain/incident_053.png
54,-156.644,1791.353,43.443470000000,-74.450040000000,43.427360000000,-74.448100000000,2.666666667,8000.000,1441.259,2171.757,1701,962,data/SAR_maps/v2/usgs_terrain/incident_054.png
55,-69.429,2628.652,43.456840000000,-74.415190000000,43.433200000000,-74.414330000000,2.666666667,8000.000,1473.964,2485.744,1734,648,data/SAR_maps/v2/usgs_terrain/incident_055.png
56,91.235,-1204.243,43.434070000000,-74.407470000000,43.444900000000,-74.408600000000,2.666666667,8000.000,1534.213,1048.409,1794,2086,data/SAR_maps/v2/usgs_terrain/incident_056.png
57,180.613,2169.416,43.530140000000,-74.571690000000,43.510630000000,-74.573930000000,2.666666667,8000.000,1567.730,2313.531,1828,820,data/SAR_maps/v2/usgs_terrain/incident_057.png
58,-909.881,-92.292,43.655660000000,-76.011500000000,43.656490000000,-76.000190000000,2.666666667,8000.000,1158.795,1465.391,1419,1669,data/SAR_maps/v2/usgs_terrain/incident_058.png
59,-2191.748,320.242,43.737010000000,-74.283050000000,43.734130000000,-74.255770000000,2.666666667,8000.000,678.094,1620.091,938,1514,data/SAR_maps/v2/usgs_terrain/incident_059.png
60,4518.561,3971.888,43.911320000000,-74.374370000000,43.875600000000,-74.430760000000,5.333333333,16000.000,2347.230,2244.729,2607,889,data/SAR_maps/v2/usgs_terrain/incident_060.png
61,-320.079,4880.352,43.997740000000,-75.161480000000,43.953850000000,-75.157480000000,5.333333333,16000.000,1439.985,2415.066,1700,719,data/SAR_maps/v2/usgs_terrain/incident_061.png
62,-316.703,-661.611,44.154700000000,-73.859420000000,44.160650000000,-73.855450000000,2.666666667,8000.000,1381.236,1251.896,1641,1882,data/SAR_maps/v2/usgs_terrain/incident_062.png
63,1289.265,-267.980,44.187720000000,-74.797190000000,44.190130000000,-74.813360000000,2.666666667,8000.000,1983.474,1399.507,2243,1734,data/SAR_maps/v2/usgs_terrain/incident_063.png
64,971.891,296.891,44.289230000000,-74.602080000000,44.286560000000,-74.614290000000,2.666666667,8000.000,1864.459,1611.334,2124,1523,data/SAR_maps/v2/usgs_terrain/incident_064.png
65,1321.150,3524.884,48.142000000000,-121.473900000000,48.110300000000,-121.491700000000,4.000000000,12000.000,1830.288,2381.221,2090,753,data/SAR_maps/v2/usgs_terrain/incident_065.png
